lang,name,lnum,lon,precision,rank,feature,languages,link,time,lat,seen,type,id
ru,Электросталь (станция),1,38.460972222222,0.000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Электросталь (станция),201506,55.786944444444,43,other,Q4531095
ru,Эльдорадовский переулок,1,37.54722222,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Эльдорадовский переулок,201506,55.79944444,32,topo,Q4531493
ru,Энергетический проезд (Москва),1,37.708138888889,0.000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Энергетический проезд (Москва),201506,55.756888888889,23,topo,Q4531938
ru,Южнопортовая улица,1,37.702777777778,0.00027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Южнопортовая улица,201506,55.705277777778,41,topo,Q4534060
ru,Южный Порт (станция),1,37.714166666667,0.00027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Южный Порт (станция),201506,55.705,24,other,Q4534130
ru,Юность (станция),1,38.137222222222,0.000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Юность (станция),201506,55.60075,33,other,Q4534631
ru,Юрловский проезд,1,37.621111111111,0.00027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Юрловский проезд,201506,55.869722222222,46,topo,Q4535034
ru,Юрово (поселение Краснопахорское),2,37.239588888889,0.0000027777777777778,,ru,ru|ce,http://stats.grok.se/ru/201506/Юрово (поселение Краснопахорское),201506,55.418363888889,25,other,Q4535107
ru,Юрьево (Истринский район),1,37.052777777778,0.00027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Юрьево (Истринский район),201506,55.786111111111,23,adm,Q4535294
ru,Яблонный переулок,1,37.639722222222,0.000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Яблонный переулок,201506,55.782,22,topo,Q4535854
ru,Язово (Москва),1,37.504788888889,0.0000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Язово (Москва),201506,55.524461111111,37,other,Q4536452
ru,Якиманское,1,36.850851,0.0000010,,ru,ru,http://stats.grok.se/ru/201506/Якиманское,201506,56.137864,9,other,Q4536637
ru,Яковлево (Подольский район),1,37.678927777778,0.0000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Яковлево (Подольский район),201506,55.501375,22,adm,Q4537014
